MEDICAMENTO,COMPOSTO,LABORATORIO,LOTE,FABRICACAO,VALIDADE,QTD (CX)
ENDOFER,FERRIPOLIMALTOSE 10ML,BIOLAB,1074808,06/22,06/24,34
AFOPIC,ACIDO FOLICO 5MG,TEUTO,9824206,11/22,11/25,6
ALTAD,COLECALCIFEROL 15000 UI,EUROFARMA,1427611,08/22,08/24,4
ACERTALIX,PERINDOPRIL 10MG INDAMAMIDA 2.5 MG,SERVIER,694091,07/22,07/25,5
ACERTALIX,PERINDOPRIL 10MG INDAMAMIDA 2.5 MG,SERVIER,6025684,10/21,10/24,2
ADDERA,SUPLEMENTO ALIMENTAR VITAMINA D,MANTECORP FARMASA,Q22K0160,10/22,10/24,5
DPREV,COLICALIFEROL 5000 UI,MYRALIS,531675,09/22,09/24,20
DPREV,COLICALIFEROL 5000 UI,MYRALIS,529206,05/22,05/24,18
FLY 250,SIMETICONA 250MG,BIOLAB,1077393,08/22,08/24,15
ALTAD,COLECALCIFEROL 15000 UI,EUROFARMA,2207192,08/22,08/24,38
ALTAD,COLECALCIFEROL 15000 UI,EUROFARMA,1427611,08/22,08/24,24
BIVOLET,CLORIDRATO DE NEBIVOLOL 5MG,BIOLAB,1078320,04/22,04/25,5
 OSTEOTEC,"IBANDRONATO DE SODIO 168,75MG",ZODIAC,92401,05/22,05/24,19
VONAU FLASH,ONDANSTERONA 8MG,BIOLAB,1077,07/22,07/24,8
DUOMO HP,MESILATO DE DOXAZOSINA FINASTERIDA,EUROFARMA,79798,06/22,06/24,26
PRESS PLUS,ANLODIPINO 5MG CLORIDRATO DE BENAZEPRIL 10MG,BIOLAB,20905418,10/22,10/24,17
BRAMICAR,TELMISARTANA 80MG,EMS,2Y6650,07/22,07/24,14
MERACILINA,FENOXIMETILPENICILINA POTÁSSICA,BIOLAB,2019083,10/20,10/24,1
RAHINE,RAMELTEONA 8MG,APSEN,2202077,09/22,09/24,0
GENERICO,SUCCINATO DE METOPROLOL 50MG,MEDLEY,C2208575,06/22,05/24,6
SILARYM,CARDO MARIANO 200MG,MYRALIS,531138,08/22,08/24,3
GENERICO,SINVASTATINA 20MG,NOVARTIS,MG1460,05/22,04/24,12
STANGLIT,CLORIDRATO DE PIGLITAZONA 15MG,LIBBS,23A0868,01/23,01/25,6
SIGMATRIOL,"CALCITRIOL 0,25MCG",BRACEPHARMA,3B9283,11/22,11/24,5
VONAU FLASH,ONDANSTERONA 8MG,BIOLAB,1075020,08/22,08/24,46
CERAZETTE,DESOGESTREL 75MCG,ORGANON,809953,08/22,08/24,9
CABERTRIX ,"CABERGOLINA 0,5MG",ZODIAC,92679,06/22,06/24,37
BRAVANHCT,VALSARTANA ANLODIPINO 160MG,ACHE,2210504,11/22,11/24,5
ABLOK PLUS,"ATENOLOL 25 MG CLORTALIDONA 12,5 MG",BIOLAB,30200046,02/2023,02/2025,0
ACERTALIX,"PERINDOPRIL ARGININA 10MG INDAPAMIDA 2,5MG",SERVIER,694091,11/2021,11/2024,8
ACERTANLO,"PERINDOPRIL ARGININA 3,5MG ANDOPIDINO BESILATO 2,5MG",SERVIER,705657,07/2022,07/2025,7
ACOG,RIVAROXABANA 15MG,TORRENT PHARMA,BMT8J001,12/2021,11/2024,14
ACOG,RIVAROXABANA 15MG,TORRENT PHARMA,BMT8J002,12/2021,11/2024,1
ACTONEL CHRONOS,RISEDRONATO SÓDICO 35MG,THERAMEX,265821,06/2021,06/2025,2
ADDERA D3,SUPLEMENTO ALIMENTAR VITAMINA D 600U.I./GOTA,MANTECORP FARMASA,Q22K0160,10/2022,10/2024,0
ADDERA D3,SUPLEMENTO ALIMENTAR VITAMINA D 1000U.I./GOTA,COSMED,Q22J0036,09/2022,09/2024,6
ADDERA KIDS,SUPLEMENTO ALIMENTAR VITAMINA D 600U.I./GOTA,COSMED,Q22G0117,08/2022,08/2024,0
AFOPIC,ÁCIDO FÓLICO 5MG,TEUTO,9824204,10/2022,10/2025,3
AFOPIC,ÁCIDO FÓLICO 5MG,TEUTO,9824202,10/2022,10/2025,3
AFOPIC,ÁCIDO FÓLICO 5MG,TEUTO,9824203,10/2022,10/2025,3
ALOPURINOL GENÉRICO,ALOPURINOL 100MG,MEDLEY,LOKP03311,03/2023,02/2025,0
ALTAD CAPS,COLECALCIFEROL 15000 UI,EUROFARMA,1427611,08/2022,08/2024,11
ALTAD GOTAS,SUPLEMENTO ALIMENTAR VITAMINA D 500 U.I./GOTA,EUROFARMA,22070192,08/2022,08/2024,6
AMMY,DROSPIRENONA 4MG,MANTECORP FARMASA,LF26939A,05/2022,05/2024,6
AMMY,DROSPIRENONA 4MG,MANTECORP FARMASA,LF27577A,07/2022,07/2024,0
,CLORIDRATO DE AMIODARONA 200MG,LIBBS,22K0114,10/2022,10/2024,0
APORTE D3,SUPLEMENTO ALIMENTAR VITAMINA D ,HEBRON,2206093,06/2022,06/2024,1
ARADOIS H ,LOSARTANA POTÁSSICA 100MG,BIOLAB,20905826,09/2022,09/2024,8
ARTROLIVE,SULFATO DE GLICOSAMINA 500MG SULFATO DE CONDROITINA 400MG,ACHE,2211321,09/2022,09/2024,2
ASEA HCT,"OLMESARTANA MEDOXOMILA + HIDROCLOROTIAZIDA 20MG + 12,5MG",SUPERA,800896,06/2022,06/2024,8
ATORVASTATINA CÁLCICA GENÉRICO,ATORVASTATINA CÁLCICA 40MG,EMS,3E5790,11/2022,11/2024,10
ATORVASTATINA CÁLCICA GENÉRICO,ATORVASTATINA CÁLCICA 20MG ,GERMED,3B2415,08/2022,08/2024,7
AZOX,NITAZOXANIDA 20MG/ML,EUROFARMA,10599,05/2022,05/2024,1
AZOX,NITAZOXANIDA 20MG/ML,EUROFARMA,10619,06/2022,06/2024,1
AZOX,NITAZOXANIDA 20MG/ML,EUROFARMA,10650,08/2022,08/2024,6
BELFAREN,DICLOFENACO SÓDICO 50MG,BELFAR,62162,06/2022,06/2024,1
BENERVA,CLORIDRATO DE TIAMINA 300MG,CELLERA FARMA,00035296,05/2022,05/2024,0
BENERVA,CLORIDRATO DE TIAMINA 300MG,CELLERA FARMA,00035904,06/2022,06/2024,0
BESILATO DE ANLODIPINO GENÉRICO,BESILATO DE ANLODIPINO 5MG,MERCK,BR144229,06/2022,05/2024,3
BESILATO DE ANLODIPINO GENÉRICO,BESILATO DE ANLODIPINO 5MG,CIMED,2224849,11/2022,11/2024,12
BETRAT,NITRATO DE TIAMINA 100MG CLORIDRATO DE PIRIDOXINA 100MG CIANOCOBALAMINA 5000MCG,MYRALIS,531407,08/2022,08/2024,3
BHENA,CLORIDRATO DE BENAZEPRIL 10MG,BIOLAB,21102538,12/2022,12/2025,1
BRAMICAR,TELMISARTANA 40MG,EMS,3B5600,06/2022,06/2024,0
BRAMICAR,TELMISARTANA 40MG,EMS,2X3166,06/2022,06/2024,0
BRAVANDUO,VALSARTANA 320MG ANLODIPINO 5MG,ACHE,2203186,12/2022,12/2024,2
CABERTRIX,"CABERGOLINA 0,5MG",ZODIAC,92679,06/2022,06/2024,12
CITOBÊ,NITRATO DE TIAMINA 100MG CLORIDRATO DE PIRIDOXINA 100MG CIANOCOBALAMINA 5000MCG,MOMENTA,809350,08/2022,08/2024,2
CITOBÊ,NITRATO DE TIAMINA 100MG CLORIDRATO DE PIRIDOXINA 100MG CIANOCOBALAMINA 5000MCG,MOMENTA,825219,10/2022,10/2024,3
CECI,DROSPIRENONA 2MG ESTRADIOL HEMI-HIDRATADO 1MG,LIBBS,22I0452,09/2022,09/2024,4
CECI,DROSPIRENONA 2MG ESTRADIOL HEMI-HIDRATADO 1MG,LIBBS,22I0451,09/2022,09/2024,2
COLEDUE R ,EZETIMIBA + ROSUVASTATINA CÁLCICA 10MG+10MG,MANTECORP FARMASA,TG0815B,07/2022,07/2024,0
CONCOR ,"HEMIFUMARATO DE BISOPROLOL 2,5MG",MERCK,BR146393,07/2022,12/2024,2
CONCOR ANLO 5/5,HEMIFUMARATO DE BISOPROLOL 5MG BESILATO DE ANLODIPINO 5MG,MERCK,6597A0921,09/2021,08/2024,2
CONCOR ANLO 5/5,HEMIFUMARATO DE BISOPROLOL 5MG BESILATO DE ANLODIPINO 5MG,MERCK,7060A1121,11/2021,10/2024,6
CORDAREX,BESILATO DE ANLOPIDINO 5MG,ACHE,2208446,06/2022,06/2024,1
COR-SELECT,"BESILATO DE LEVANLODIPINO 2,5MG",BIOLAB,H220186B,02/2022,01/2025,4
CLAZI XR,GLICLAZIDA 30MG,BRACEPHARMA,2Z6556,08/2022,08/2024,0
CLAZI XR,GLICLAZIDA 30MG,BRACEPHARMA,2Z6556,11/2022,11/2024,2
CLORIDRATO DE METFORMINA GENÉRICO,CLORIDRATO DE METFORMINA 500MG ,TEUTO,26471136,06/2022,06/2024,10
CLORIDRATO DE METFORMINA GENÉRICO,CLORIDRATO DE METFORMINA 500MG,TEUTO,26471133,06/2022,06/2024,2
CLORIDRATO DE METFORMINA GENÉRICO,CLORIDRATO DE METFORMINA 500MG,TEUTO,26471170,09/2022,09/2024,0
CLORIDRATO DE NEBIVOLOL ,CLORIDRATO DE NEBIVOLOL 5MG ,TORRENT PHARMA,CJT6J012,08/2022,07/2025,7
CLORIDRATO DE PROPANOL GENÉRICO,CLORIDRATO DE PROPANOL 10MG,MEDLEY,CKP06074,06/2022,05/2024,8
CLORIDRATO DE PROPANOL GENÉRICO,CLORIDRATO DE PROPANOL 10MG,MEDLEY,DKP02335,02/2023,01/2025,1
CLORIDRATO DE PROPANOL GENÉRICO,CLORIDRATO DE PROPANOL 10MG,MEDLEY,CKP09767,08/2022,07/2024,1
CRONOCOR,"CARVEDILOL 6,25MG",BIOLAB,1074797,05/2022,05/2024,4
CRONOCOR,"CARVEDILOL 6,25MG",BIOLAB,1074794,05/2022,05/2024,5
CRONOCOR,"CARVEDILOL 6,25MG",BIOLAB,20904426,01/2023,01/2025,2
CRONOCOR,"CARVEDILOL 6,25MG",BIOLAB,20905367,02/2023,02/2025,7
CRONOCOR,"CARVEDILOL 6,25MG",BIOLAB,30204027,03/2023,03/2025,3
DOZOITO,SUCCINATO DE METOPEL 50 MG,BIOLAB,C2212424,10/22,09/24,4
ADOLESS,"GESTODENO 0,60 MG",FQM,221274,05/22,05/24,1
DUPHASTON ,DISROGESTERONA10 MG,ABOTT,361928,02/20,01/25,1
NACTALI,DESOGESTREL 75 MCG,LIBBS,22GO524,07/22,07/24,1
CYCLOFEMINA ,25MG DE ACETATO DE MEDROXIPROGESTERONA 5 MG DE ESTRADIOL,CARNOT,8220603471,09/21,09/25,1
NATIFA,ESTRADIOL 1 MG ,LIBBS,22E0699,05/22,05/24,1
NATFA PRO UBD,"ESTRADIOL0,5 ACETATO DE NORESTISTERONA 0,1MG",LIBBS,22E0724,05/22,05/24,5
AMMY,DROSPIRENONA 4 MG,MANTECORP FARMASA,LF26939A,05/22,05/24,7
CECI,"DROSPIRENONA 2 MG,ESTRADIOL HEMI-HIDRATADO 1 MG",LIBBS,22I0451,09/22,09/24,6
OMATER,GEST SUPLEMENTO ALIMENTAR,HETBARIUM,220622,05/22,05/24,2
GINESSE,"GESTODENO 0,075 MG,ETINISTRADIOL 0,02 MG",FQM,221000,05/22,05/24,3
NACTALI,DESOGESTREL 75 MCG,LIBBS,22GO0524,07/22,07/24,1
DACXI,RIVAROXA 15 MG,BIOLAB,B2200735,02/22,01/25,7
DAFLON,DIOSMINA 900MG +HESPERIDINA 100 MG,SERVIER,3019723,08/22,08/24,0
DIGELIV,SUPLEMENTO ALIMENTAR,APSEN,22050420,05/22,05/24,2
DIOVAN,VALSARTANA 160 MG,NOVATIS,2204975,11/21,10/24,0
DIGEDRAST,MALEATO DE TRIMEBUTINA 200 MG,MANTECORP FARMASA,B21J1821,05/22,05/24,21
DOMPERIDONA,10MG,EMS,3H6252,11/22,11/24,5
DEXFER,FERRIPOLIMALTOSE 400 MG,EUROFARMA,529744,05/22,05/24,0
DEXFER,FERRIPOLIMALTOSE 400 MG,EUROFARMA,529745,05/22,05/24,1
DEXFER,FERRIPOLIMALTOSE 400 MG,EUROFARMA,528735,05/22,05/24,2
D ORTO, RISEDRONATO SODICO 150 MG,EUROFARMA,22080050,07/22,07/24,6
D ORTO, RISEDRONATO SODICO 150 MG,EUROFARMA,22090134,08/22,08/24,8
